method,topic,common-complications-of-X,surgery-complications-of-X,what-are-complications-of-X
aio,adrenalectomy,0,0,0
aio,breast biopsies,0,0,0
aio,breast implants,0,0,0
aio,c section,0,0,0
aio,colostomy,0,0,0
aio,double mastectomy,0,0,0
aio,exploratory laparotomy,0,0,0
aio,hartmanns procedure,0,0,0
aio,heart transplant,0,0,0
aio,hemorrhoidectomy,0,0,0
aio,hepatectomy,0,0,0
aio,hysterectomy,0.333333333,0,0
aio,ileostomy,0,0,1
aio,inguninal hernia repair,0.333333333,0,0
aio,kidney transplant,0,0,0
aio,knee implants,0,0.2,0.333333333
aio,laparoscopic cholecystectomy,0,0,0
aio,laparoscopic sigmoid resection,0,0,0
aio,liver transplant,0,0,0
aio,lung transplant,0,0,0.5
aio,mammogram,0.333333333,0,0
aio,mesh vaginal prolapse,0,0,0
aio,metal hip implants,0,0,0
aio,nephrectomy,0.333333333,0,1
aio,robotic prostatectomy,0,0.5,0.333333333
aio,suprapubic catheter,0,0,0
aio,urostomy,0,0,0
aio,vaccines,0,,
perplexity,adrenalectomy,0,1,0
perplexity,breast biopsies,0,0,0
perplexity,breast implants,0,0,0
perplexity,c section,0,0,0
perplexity,colostomy,0,0,0
perplexity,double mastectomy,0,0,0
perplexity,exploratory laparotomy,0,0,0
perplexity,hartmanns procedure,0,0,0
perplexity,heart transplant,0,0,0
perplexity,hemorrhoidectomy,0,0,0
perplexity,hepatectomy,0,1,0
perplexity,hysterectomy,0,0,0
perplexity,ileostomy,0,0,0
perplexity,inguninal hernia repair,0,0,0
perplexity,kidney transplant,0,0,0
perplexity,knee implants,0,0,0
perplexity,laparoscopic cholecystectomy,0,0,0
perplexity,laparoscopic sigmoid resection,0,1,0
perplexity,liver transplant,0,0,0
perplexity,lung transplant,0,0,0
perplexity,mammogram,0,0,0
perplexity,mesh vaginal prolapse,0,0,0
perplexity,metal hip implants,0,0,0
perplexity,nephrectomy,0,1,0
perplexity,robotic prostatectomy,0,1,0
perplexity,suprapubic catheter,0,1,0
perplexity,urostomy,0,0,0
perplexity,vaccines,1,,1
